Metric: PESQ
Processed 1 files
Skipped 0 files

Noise Level Results:
Noise Level 0.44: 1.704
Noise Level 0.45: 1.629
Noise Level 0.46: 1.555
Noise Level 0.47: 1.493
Noise Level 0.48: 1.435
Noise Level 0.49: 1.383
Noise Level 0.50: 1.347
Noise Level 0.51: 1.300
Noise Level 0.52: 1.275
Noise Level 0.53: 1.244
Noise Level 0.54: 1.218
Noise Level 0.55: 1.194
Noise Level 0.56: 1.172
Noise Level 0.57: 1.154
Noise Level 0.58: 1.143
Noise Level 0.59: 1.129
Noise Level 0.60: 1.117
Noise Level 0.61: 1.108
Noise Level 0.62: 1.100
Noise Level 0.63: 1.093
Noise Level 0.64: 1.083
Noise Level 0.65: 1.077
Noise Level 0.66: 1.072
Noise Level 0.67: 1.066
Noise Level 0.68: 1.063
Noise Level 0.69: 1.059
Noise Level 0.70: 1.055
Noise Level 0.71: 1.053
Noise Level 0.72: 1.049
Noise Level 0.73: 1.048
Noise Level 0.74: 1.045
Noise Level 0.75: 1.043
Noise Level 0.76: 1.042
Noise Level 0.77: 1.040
Noise Level 0.78: 1.039
Noise Level 0.79: 1.037
Noise Level 0.80: 1.036
Noise Level 0.81: 1.035
Noise Level 0.82: 1.034
Noise Level 0.83: 1.033
Noise Level 0.84: 1.033
Noise Level 0.85: 1.032
Noise Level 0.86: 1.031
Noise Level 0.87: 1.031
Noise Level 0.88: 1.030
Noise Level 0.89: 1.029
Noise Level 0.90: 1.030
Noise Level 0.91: 1.029
Noise Level 0.92: 1.028
Noise Level 0.93: 1.028
Noise Level 0.94: 1.028
Noise Level 0.95: 1.027
Noise Level 0.96: 1.027
Noise Level 0.97: 1.027
Noise Level 0.98: 1.027
Noise Level 0.99: 1.027
Noise Level 1.00: 1.026

